sub_location,bed_rooms,bath_rooms,house_size,land_size,price,garden,commercial_area,luxury_level
Colombo 5 ,4,3,1500.0 sqft,13.0 perches,"Rs 100,000,000.00",True,True,luxury
Colombo 5 ,7,7,4500.0 sqft,11.8 perches,"Rs 190,000,000.00",True,True,luxury
Colombo 5 ,4,3,2000.0 sqft,10.0 perches,"Rs 135,000,000.00",True,True,luxury
Colombo 5 ,5,4,3000.0 sqft,11.5 perches,"Rs 207,000,000.00",False,True,luxury
Colombo 5 ,4,4,3000.0 sqft,12.9 perches,"Rs 100,000,000.00",True,True,luxury
Colombo 5 ,6,5,5000.0 sqft,18.0 perches,"Rs 190,000,000.00",True,True,luxury
Colombo 5 ,5,5,3000.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,9.5 perches,"Rs 155,000,000.00",True,True,luxury
Colombo 5 ,7,6,4522.0 sqft,8.3 perches,"Rs 80,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,12.0 perches,"Rs 120,000,000.00",True,True,luxury
Colombo 5 ,9,8,3000.0 sqft,10.0 perches,"Rs 120,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,12.3 perches,"Rs 200,000,000.00",True,True,luxury
Colombo 5 ,5,5,6000.0 sqft,33.0 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,6,6,1500.0 sqft,12.0 perches,"Rs 60,000,000.00",False,True,semi luxury
Colombo 5 ,3,4,2000.0 sqft,6.6 perches,"Rs 100,000,000.00",False,True,luxury
Colombo 5 ,6,2,2800.0 sqft,6.0 perches,"Rs 33,000,000.00",False,True,semi luxury
Colombo 5 ,3,3,4700.0 sqft,20.0 perches,"Rs 360,000,000.00",True,True,luxury
Colombo 5 ,5,5,3000.0 sqft,20.0 perches,"Rs 200,000,000.00",True,True,luxury
Colombo 5 ,4,4,4700.0 sqft,20.0 perches,"Rs 360,000,000.00",True,True,luxury
Colombo 5 ,4,4,3500.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,5,4,3000.0 sqft,18.0 perches,"Rs 210,000,000.00",False,True,luxury
Colombo 5 ,6,6,3050.0 sqft,9.9 perches,"Rs 55,000,000.00",True,True,semi luxury
Colombo 5 ,3,3,3000.0 sqft,32.42 perches,"Rs 133,000,000.00",True,True,luxury
Colombo 5 ,4,3,3000.0 sqft,11.9 perches,"Rs 150,000,000.00",True,True,luxury
Colombo 5 ,3,2,1830.0 sqft,6.1 perches,"Rs 24,000,000.00",False,True,basic
Colombo 5 ,9,9,4300.0 sqft,16.0 perches,"Rs 412,000,000.00",False,True,luxury
Colombo 5 ,5,5,4800.0 sqft,33.0 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,5,3,6000.0 sqft,17.5 perches,"Rs 473,164,350.00",True,True,luxury
Colombo 5 ,3,2,3675.0 sqft,13.5 perches,"Rs 100,000,000.00",False,True,luxury
Colombo 5 ,4,3,1290.0 sqft,4.3 perches,"Rs 65,000,000.00",False,True,semi luxury
Colombo 5 ,4,3,3000.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,5,5,6000.0 sqft,33.26 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,4,3,3000.0 sqft,11.9 perches,"Rs 110,000,000.00",False,True,luxury
Colombo 5 ,4,2,2250.0 sqft,4.3 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,4,3,3500.0 sqft,19.0 perches,"Rs 153,000,000.00",True,True,luxury
Colombo 5 ,6,6,5000.0 sqft,10.0 perches,"Rs 130,000,000.00",False,True,luxury
Colombo 5 ,3,2,2000.0 sqft,16.0 perches,"Rs 58,000,000.00",True,True,semi luxury
Colombo 5 ,4,5,5000.0 sqft,11.0 perches,"Rs 54,000,000.00",False,True,semi luxury
Colombo 5 ,5,5,3500.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,3,1,2790.0 sqft,9.3 perches,"Rs 72,000,000.00",False,True,luxury
Colombo 5 ,7,3,3500.0 sqft,15.54 perches,"Rs 250,000,000.00",False,True,luxury
Colombo 5 ,5,4,4000.0 sqft,33.2 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,6,4,3600.0 sqft,9.4 perches,"Rs 74,000,000.00",True,True,luxury
Colombo 5 ,3,3,1600.0 sqft,10.0 perches,"Rs 22,000,000.00",False,True,basic
Colombo 5 ,4,2,2200.0 sqft,6.0 perches,"Rs 80,000,000.00",True,True,luxury
Colombo 5 ,6,2,2800.0 sqft,6.0 perches,"Rs 330,000,000.00",False,True,luxury
Colombo 5 ,4,4,5000.0 sqft,20.0 perches,"Rs 360,000,000.00",True,True,luxury
Colombo 5 ,4,3,3000.0 sqft,9.0 perches,"Rs 150,000,000.00",False,True,luxury
Colombo 5 ,9,9,4500.0 sqft,16.0 perches,"Rs 350,000,000.00",True,True,luxury
Colombo 5 ,5,4,3000.0 sqft,10.0 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,6,4,3600.0 sqft,9.4 perches,"Rs 75,000,000.00",True,True,luxury
Colombo 5 ,3,1,3000.0 sqft,10.0 perches,"Rs 12,500,000.00",False,True,basic
Colombo 5 ,5,5,4000.0 sqft,33.0 perches,"Rs 250,000,000.00",True,True,luxury
